Year,Conf,Team,Wins,Loss,Prorated Win,Salary,cost per win,champ,Finals,playoffs,,,,,,,,,
2020,Pacific,Phoenix Suns,34,39,38,"$126,329,911 ","$3,307,777.44 ",0,0,,,,,,,,,,
2020,Northwest,Portland Trail Blazers,35,39,39,"$125,356,909 ","$3,232,199.05 ",0,0,,,,,,,,,,
2020,Pacific,Sacramento Kings,31,41,35,"$93,989,320 ","$2,662,167.99 ",0,0,,,,,,,,,,
2020,Southwest,San Antonio Spurs,32,39,37,"$104,117,063 ","$2,817,191.87 ",0,0,,,,,,,,,,
2020,Atlantic,Toronto Raptors,53,19,60,"$121,290,132 ","$2,009,408.54 ",0,0,,,,,,,,,,
2020,Northwest,Utah Jazz,44,28,50,"$135,529,368 ","$2,704,577.19 ",0,0,,,,,,,,,,
2020,Southeast,Washington Wizards,25,47,28,"$126,243,515 ","$4,433,918.58 ",0,0,,,,,,,,,,
2019,Southeast,Atlanta Hawks,29,53,29,"$82,491,624 ","$2,844,538.76 ",0,0,,,,,,,,,,
2019,Atlantic,Boston Celtics,49,33,49,"$116,889,734 ","$2,385,504.78 ",0,0,,,,,,,,,,
2019,Atlantic,Brooklyn Nets,42,40,42,"$94,820,578 ","$2,257,632.81 ",0,0,,,,,,,,,,
2019,Southeast,Charlotte Hornets,39,43,39,"$97,765,606 ","$2,506,810.41 ",0,0,,,,,,,,,,
2019,Central,Chicago Bulls,22,60,22,"$111,720,511 ","$5,078,205.05 ",0,0,,,,,,,,,,
2019,Central,Cleveland Cavaliers,19,63,19,"$129,260,620 ","$6,803,190.53 ",0,0,,,,,,,,,,
2019,Southwest,Dallas Mavericks,33,49,33,"$117,553,325 ","$3,562,221.97 ",0,0,,,,,,,,,,
2019,Northwest,Denver Nuggets,54,28,54,"$128,193,401 ","$2,373,951.87 ",0,0,,,,,,,,,,
2019,Central,Detroit Pistons,41,41,41,"$104,275,681 ","$2,543,309.29 ",0,0,,,,,,,,,,
2019,Pacific,Golden State Warriors,57,25,57,"$130,342,231 ","$2,286,705.81 ",0,1,,,,,,,,,,
2019,Southwest,Houston Rockets,53,29,53,"$124,493,840 ","$2,348,940.38 ",0,0,,,,,,,,,,
2019,Central,Indiana Pacers,48,34,48,"$112,346,544 ","$2,340,553.00 ",0,0,,,,,,,,,,
2019,Pacific,Los Angeles Clippers,48,34,48,"$128,442,811 ","$2,675,891.90 ",0,0,,,,,,,,,,
2019,Pacific,Los Angeles Lakers,37,45,37,"$107,807,481 ","$2,913,715.70 ",0,0,,,,,,,,,,
2019,Southwest,Memphis Grizzlies,33,49,33,"$97,524,703 ","$2,955,294.03 ",0,0,,,,,,,,,,
2019,Southeast,Miami Heat,39,43,39,"$128,951,102 ","$3,306,438.51 ",0,0,,,,,,,,,,
2019,Central,Milwaukee Bucks,60,22,60,"$120,683,725 ","$2,011,395.42 ",0,0,,,,,,,,,,
2019,Northwest,Minnesota Timberwolves,36,46,36,"$114,357,931 ","$3,176,609.19 ",0,0,,,,,,,,,,
